"GID","GNAME","othername","BREEDER","GERMPLASMTYPE","IR NUMBER","IR CROSS","PARENTAGE","FEMALE PARENT","MALE PARENT","SELECTION HISTORY","SOURCE","Biotic","Abiotic","Grain Quality","Major Genes"
1,"QM20-aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
2,"QM20-aaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
3,"QM20-aaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
4,"QM20-Aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
5,"QM20-AaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
6,"QM20-AaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
7,"QM20-AAbb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
8,"QM20-AABb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
9,"QM20-AABB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W15-03-01-31","W04-28-58-03-19-01","W15-03-01-31","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
10,"QM21-aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
