"Env","ENTRIES","Rep","Yield","Yield_resid_fixed","Yield_resid_random"
"A","T1","1",3921.659083,466.260122840979,524.544927824384
"A","T1","2",3657.132626,-5.16230498159894,69.5844253374239
"A","T1","3",3232.431749,-461.097817859395,-383.865866384731
"A","T10","1",2591.756193,-47.6642254923499,-138.44241302457
"A","T10","2",2675.417088,-170.899301314927,-245.21556351153
"A","T10","3",3096.114552,218.563526807276,146.732485766315
"A","T11","1",3563.402637,-163.86359949235,-55.9140696320637
"A","T11","2",3503.682171,-430.480036314927,-306.068581119024
"A","T11","3",4559.740479,594.343635807276,721.240312158821
"A","T12","1",2435.80953,-671.460357825684,-676.771785652155
"A","T12","2",3537.870745,223.704886351739,234.855383860885
"A","T12","3",3793.155966,447.755471473942,461.39119013873
"A","T13","1",3253.357769,164.339341840983,155.693736452443
"A","T13","2",2627.891178,-668.023219981595,-660.206900034518
"A","T13","3",3830.832912,503.683878140609,513.985419243328
"A","T14","1",1114.84138,-111.890506159016,-460.73869108601
"A","T14","2",1078.762218,-354.865638981594,-687.25189857297
"A","T14","3",1931.618638,466.75614514061,136.855106704875
"A","T15","1",3130.662285,-410.16878949235,-336.277242457311
"A","T15","2",4186.870155,439.143109685072,529.496582055728
"A","T15","3",3749.987361,-28.9743201927236,63.8643733335739
"A","T16","1",3967.999031,474.578008840983,539.808685626059
"A","T16","2",2990.910431,-709.406561981595,-627.713959860901
"A","T16","3",3966.380182,234.828553140609,319.006376416944
"A","T17","1",3041.312774,-53.94055649235,-61.4471694914414
"A","T17","2",4018.387681,716.238379685073,725.193692021599
"A","T17","3",2671.086114,-662.297823192724,-650.857289700556
"A","T18","1",3497.977755,-68.0316701590168,10.4594589793878
"A","T18","2",4249.292214,476.386818018406,571.339872492428
"A","T18","3",3395.784884,-408.35514785939,-310.916872229727
"A","T19","1",3605.20412,66.2474838409835,139.796608406575
"A","T19","2",4522.668099,776.815492018407,866.826541919616
"A","T19","3",2934.024267,-843.06297585939,-750.56670480254
"A","T2","1",2621.494776,324.478301174317,171.149747565247
"A","T2","2",2141.961577,-361.950868648261,-498.817496921713
"A","T2","3",2572.619649,37.4725674739429,-96.9088396438679
"A","T20","1",3078.734833,47.0473941743162,27.9285615518957
"A","T20","2",3372.647034,134.063624351739,131.406717064935
"A","T20","3",3088.707027,-181.111018526058,-181.282704657219
"A","T21","1",3635.151247,24.6671841743164,111.282941894375
"A","T21","2",3268.871124,-548.508909648261,-445.431226592585
"A","T21","3",4372.456395,523.841725473943,629.40462968526
"A","T22","1",2986.602629,244.15235450765,172.19566517616
"A","T22","2",3188.635406,239.289160685072,183.794396689199
"A","T22","3",2497.139366,-483.441515192724,-536.451058032955
"A","T23","1",2072.156218,-1145.31512149235,-1130.49494373585
"A","T23","2",4204.168773,779.801462685073,811.083565777186
"A","T23","3",3821.115605,365.513658807276,399.28098305503
"A","T24","1",3662.722236,172.929668174317,237.497498777152
"A","T24","2",4017.354441,320.66590235174,401.695658290192
"A","T24","3",3234.327604,-493.595570526057,-410.080593431962
"A","T25","1",4129.158241,-62.1215191590172,130.594019699735
"A","T25","2",4255.156724,-143.019006981594,66.1584572127758
"A","T25","3",4634.550893,205.140526140608,416.80321149062
"A","T26","1",2813.049798,242.918995840983,139.482978435186
"A","T26","2",3040.065723,263.038950018406,176.064857948226
"A","T26","3",2302.303463,-505.95794585939,-590.446816773929
