"ENTRIES","Env","Rep","Yield","Yield_resid_fixed"
"T1","A","1",3921.659083,466.260122840979
"T1","A","2",3657.132626,-5.16230498159894
"T1","A","3",3232.431749,-461.097817859395
"T2","A","1",2621.494776,324.478301174317
"T2","A","2",2141.961577,-361.950868648261
"T2","A","3",2572.619649,37.4725674739429
"T3","A","1",993.4087462,-188.900814025684
"T3","A","2",1243.478261,-145.727270048261
"T3","A","3",1755.068251,334.628084073942
"T4","A","1",1784.23913,-682.787737159017
"T4","A","2",3082.237951,408.315113018406
"T4","A","3",2979.630098,274.47262414061
"T5","A","1",3198.30637,-10.9769851590167
"T5","A","2",2842.736771,-573.442554981594
"T5","A","3",4031.833502,584.41954014061
"T6","A","1",3482.374874,277.040513174317
"T6","A","2",3059.401331,-352.829000648261
"T6","A","3",3519.253455,75.788487473943
"T7","A","1",2593.528817,-397.821159825683
"T7","A","2",3772.497472,574.251524351739
"T7","A","3",3053.050219,-176.430364526057
"T8","A","1",2015.23003,-406.274564159017
"T8","A","2",2908.998989,280.598424018406
"T8","A","3",2785.311341,125.67614014061
"T9","A","1",4031.888271,228.888268840984
"T9","A","2",3946.253581,-63.6423919815938
"T9","A","3",3875.884732,-165.24587685939
"T10","A","1",2591.756193,-47.6642254923499
"T10","A","2",2675.417088,-170.899301314927
"T10","A","3",3096.114552,218.563526807276
"T11","A","1",3563.402637,-163.86359949235
"T11","A","2",3503.682171,-430.480036314927
"T11","A","3",4559.740479,594.343635807276
"T12","A","1",2435.80953,-671.460357825684
"T12","A","2",3537.870745,223.704886351739
"T12","A","3",3793.155966,447.755471473942
"T13","A","1",3253.357769,164.339341840983
"T13","A","2",2627.891178,-668.023219981595
"T13","A","3",3830.832912,503.683878140609
"T14","A","1",1114.84138,-111.890506159016
"T14","A","2",1078.762218,-354.865638981594
"T14","A","3",1931.618638,466.75614514061
"T15","A","1",3130.662285,-410.16878949235
"T15","A","2",4186.870155,439.143109685072
"T15","A","3",3749.987361,-28.9743201927236
"T16","A","1",3967.999031,474.578008840983
"T16","A","2",2990.910431,-709.406561981595
"T16","A","3",3966.380182,234.828553140609
"T17","A","1",3041.312774,-53.94055649235
"T17","A","2",4018.387681,716.238379685073
"T17","A","3",2671.086114,-662.297823192724
"T18","A","1",3497.977755,-68.0316701590168
"T18","A","2",4249.292214,476.386818018406
"T18","A","3",3395.784884,-408.35514785939
"T19","A","1",3605.20412,66.2474838409835
"T19","A","2",4522.668099,776.815492018407
"T19","A","3",2934.024267,-843.06297585939
"T20","A","1",3078.734833,47.0473941743162
"T20","A","2",3372.647034,134.063624351739
"T20","A","3",3088.707027,-181.111018526058
"T21","A","1",3635.151247,24.6671841743164
"T21","A","2",3268.871124,-548.508909648261
"T21","A","3",4372.456395,523.841725473943
"T22","A","1",2986.602629,244.15235450765
"T22","A","2",3188.635406,239.289160685072
"T22","A","3",2497.139366,-483.441515192724
"T23","A","1",2072.156218,-1145.31512149235
"T23","A","2",4204.168773,779.801462685073
"T23","A","3",3821.115605,365.513658807276
"T24","A","1",3662.722236,172.929668174317
"T24","A","2",4017.354441,320.66590235174
"T24","A","3",3234.327604,-493.595570526057
"T25","A","1",4129.158241,-62.1215191590172
"T25","A","2",4255.156724,-143.019006981594
"T25","A","3",4634.550893,205.140526140608
"T26","A","1",2813.049798,242.918995840983
"T26","A","2",3040.065723,263.038950018406
"T26","A","3",2302.303463,-505.95794585939
"T27","A","1",3686.132878,211.565425840984
"T27","A","2",3689.996208,8.53278501840623
"T27","A","3",3492.599848,-220.09821085939
"T28","A","1",3457.662412,-166.638918825684
"T28","A","2",3366.734075,-464.463226648261
"T28","A","3",4493.534083,631.102145473942
"T1","B","1",3286.653185,238.20238923751
"T1","B","2",3079.103472,76.1123729025835
"T1","B","3",2830.788675,-314.314762140071
"T2","B","1",3141.27275,96.6747519041701
"T2","B","2",2802.77216,-196.366141430757
"T2","B","3",3240.942029,99.6913895265884
"T3","B","1",2121.777048,-89.0080360958304
"T3","B","2",2373.053589,207.728201569243
"T3","B","3",2188.71756,-118.720165473412
"T4","B","1",4742.14695,169.071813904169
"T4","B","2",3840.769296,-686.846143430758
"T4","B","3",5187.502107,517.774329526588
"T5","B","1",4806.976744,-557.946217762498
"T5","B","2",5137.917088,-181.546177097424
"T5","B","3",6201.067998,739.492394859922
"T6","B","1",5444.301904,562.990334570836
"T6","B","2",4682.971014,-152.880858764091
"T6","B","3",4567.854735,-410.109475806745
"T7","B","1",4471.656977,-167.504834429164
"T7","B","2",4267.018453,-326.68366176409
"T7","B","3",5230.002949,494.188496193256
"T8","B","1",4677.831143,-250.218855429163
"T8","B","2",3736.429896,-1146.16040576409
"T8","B","3",6421.081901,1396.37926119325
"T9","B","1",4851.268116,384.997693237503
"T9","B","2",4227.831143,-192.979583097424
"T9","B","3",4370.904954,-192.018110140079
"T10","B","1",6047.002444,476.44177290417
"T10","B","2",5351.017442,-174.083532430756
"T10","B","3",5364.855072,-302.358240473411
"T11","B","1",5499.595551,860.968791904171
"T11","B","2",3442.650404,-1150.51665843076
"T11","B","3",5024.827267,289.547866526589
"T12","B","1",4674.140546,121.094760904169
"T12","B","2",4602.199191,94.6131025692421
"T12","B","3",4433.990563,-215.707863473412
"T13","B","1",4745.845972,-702.764215762496
"T13","B","2",4796.549545,-606.600946097423
"T13","B","3",6854.627991,1309.36516185992
"T14","B","1",2184.024267,206.905344237503
"T14","B","2",1762.209302,-169.449924097424
"T14","B","3",2036.316144,-37.4554201400783
"T15","B","1",3411.747978,-917.198689095831
"T15","B","2",4471.351534,187.864563569243
"T15","B","3",5154.933434,729.334125526588
"T16","B","1",3878.686384,647.906355570836
"T16","B","2",3666.022076,480.70174423591
"T16","B","3",2198.82457,-1128.60809980675
"T17","B","1",3275.467644,-77.3660860958303
"T17","B","2",3657.398045,350.024011569243
"T17","B","3",3176.828446,-272.657925473412
"T18","B","1",2744.173407,-243.181725429164
"T18","B","2",2850.91633,-90.9791057640905
"T18","B","3",3418.168605,334.160831193255
"T19","B","1",3162.563195,204.95752890417
"T19","B","2",2840.849343,-71.2966264307574
"T19","B","3",2920.597405,-133.660902473412
"T20","B","1",4506.837715,258.352512904169
"T20","B","2",3325.834176,-877.191329430757
"T20","B","3",4963.97666,618.838816526589
"T21","B","1",5411.40883,480.485559237503
"T21","B","2",4240.01938,-645.444194097424
"T21","B","3",5192.534547,164.958634859922
"T22","B","1",5089.069346,362.323274237503
"T22","B","2",4812.335693,131.049317902576
"T22","B","3",4330.026121,-493.372592140078
"T23","B","1",5195.652174,-405.84041509583
"T23","B","2",6654.541625,1098.50873256924
"T23","B","3",5005.476913,-692.668317473411
"T24","B","1",4138.502696,-989.651222762497
"T24","B","2",5726.074317,643.380094902576
"T24","B","3",5571.077688,346.271127859923
"T25","B","1",2896.524267,-751.868951095831
"T25","B","2",3683.645096,80.7115745692431
"T25","B","3",4416.203236,671.157376526588
"T26","B","1",5659.50455,325.307068237503
"T26","B","2",4164.292636,-1124.44514909742
"T26","B","3",6229.988204,799.138080859922
"T27","B","1",3702.557297,-1182.92866342916
"T27","B","2",6926.390293,2086.36402923591
"T27","B","3",4078.703236,-903.435365806745
"T28","B","1",5636.480452,218.743199570837
"T28","B","2",5090.394338,-281.88321776409
"T28","B","3",5577.529912,63.1400181932559
"T1","C","1",3025.362319,785.972082000018
"T1","C","2",1990.267947,-249.122289999982
"T1","C","3",1702.540445,-536.849791999982
"T2","C","1",3194,-0.0271316666662642
"T2","C","2",4150.404449,956.377317333333
"T2","C","3",2237.676946,-956.350185666666
"T3","C","1",4165.689248,-1239.14939366667
"T3","C","2",5577.498315,172.659673333334
"T3","C","3",6471.328362,1066.48972033333
"T4","C","1",5819,-200.089624666667
"T4","C","2",5936.771149,-82.3184756666669
"T4","C","3",6301.497725,282.408100333333
"T5","C","1",1593.200202,-392.090776333333
"T5","C","2",2158.358611,173.067632666667
"T5","C","3",2204.314122,219.023143666667
"T6","C","1",4599.785137,604.627289333333
"T6","C","2",4746.376812,751.218964333334
"T6","C","3",2639.311594,-1355.84625366667
"T7","C","1",2246.172481,-458.396528
"T7","C","2",2825.564543,120.995534
"T7","C","3",3041.970003,337.400994
"T8","C","1",1862.318841,495.759605833333
"T8","C","2",1372.048787,5.48955183333305
"T8","C","3",865.3100775,-501.249157666667
"T9","C","1",3754.006572,-0.511880999999903
"T9","C","2",3045.338305,-709.180147999999
"T9","C","3",4464.210482,709.692029000001
"T10","C","1",4221.534799,662.577238333333
"T10","C","2",3346.979272,-211.978288666667
"T10","C","3",3108.358611,-450.598949666667
"T11","C","1",3483.316481,71.3782156666666
"T11","C","2",3251.150152,-160.788113333333
"T11","C","3",3501.348163,89.4098976666669
"T12","C","2",557.7982811,86.8701553646459
"T12","C","3",384.057971,-86.8701547353541
"T13","C","1",3627.612066,998.849062
"T13","C","2",2237.676946,-391.086058
"T13","C","3",2021,-607.763004
"T14","C","1",4259.925851,219.094062333333
"T14","C","2",3785.793731,-255.038057666667
"T14","C","3",4076.775784,35.9439953333326
"T15","C","1",1281.386923,-73.9453429999999
"T15","C","2",1137.681159,-217.651107
"T15","C","3",1646.928716,291.59645
"T16","C","1",3393.459302,43.2367146666666
"T16","C","2",3788.780755,438.558167666667
"T16","C","3",2868.427705,-481.794882333334
"T17","C","1",5119.392484,705.054151333334
"T17","C","2",3709.622514,-704.715818666666
"T17","C","3",4414,-0.338332666666247
"T18","C","1",4338.075076,480.215706333333
"T18","C","2",3942.719919,84.8605493333334
"T18","C","3",3292.783114,-565.076255666667
"T19","C","1",3895.782777,-230.358948666668
"T19","C","2",3140.588136,-985.553589666668
"T19","C","3",5342.054264,1215.91253833333
"T20","C","1",2950.286485,-147.792382666667
"T20","C","2",3282.204247,184.125379333333
"T20","C","3",3061.745871,-36.332996666667
"T21","C","1",1626.30182,104.844961333333
"T21","C","2",1568.503539,47.0466803333334
"T21","C","3",1369.565217,-151.891641666667
"T22","C","1",3919.468318,-187.009886666666
"T22","C","2",4056.399562,-50.0786426666659
"T22","C","3",4343.566734,237.088529333334
"T23","C","1",3337.272497,494.256263
"T23","C","2",1992.100607,-850.915627
"T23","C","3",3199.675598,356.659364
"T24","C","1",3121.378918,219.403718666666
"T24","C","2",2117.155376,-784.819823333333
"T24","C","3",3467.391304,565.416104666667
"T25","C","1",2862.89181,-406.246489333333
"T25","C","2",3058.088979,-211.049320333333
"T25","C","3",3886.434109,617.295809666667
"T26","C","1",1938.865015,-600.356701666667
"T26","C","2",2483.147961,-56.0737556666668
"T26","C","3",3195.652174,656.430457333333
"T27","C","1",1675.564543,-969.716885666667
"T27","C","2",3245.028648,599.747219333333
"T27","C","3",3015.251095,369.969666333333
"T28","C","1",1790.899899,-1530.173576
"T28","C","2",3745.78699,424.713515
"T28","C","3",4426.533536,1105.460061
