"gen","yield_PredMean","EnvLevel"
"G01",4.98070033607614,"1"
"G02",4.48447937666052,"1"
"G03",3.69495402587629,"1"
"G04",4.48564231470601,"1"
"G05",4.95446663301511,"1"
"G06",4.52415706193163,"1"
"G07",4.17056903026092,"1"
"G08",4.54174616882062,"1"
"G09",3.66958522282644,"1"
"G10",4.39014362526919,"1"
"G11",4.28308214473324,"1"
"G12",4.70527509118219,"1"
"G13",4.71118155201576,"1"
"G14",4.72291655969582,"1"
"G15",4.90421645252355,"1"
"G16",4.68048129891904,"1"
"G17",4.55759461907884,"1"
"G18",4.36933575812234,"1"
"G19",4.76909267536936,"1"
"G20",4.14054766018229,"1"
"G21",4.73564874346826,"1"
"G22",4.50360547929111,"1"
"G23",4.30251907353194,"1"
"G24",4.22645909644255,"1"
