"EnvLevel","gen","block","rep","yield","yield_resid_fixed","yield_resid_random"
"1","G01","B1","R3",4.6512,-0.0774247447003553,-0.0182115684743334
"1","G01","B4","R2",5.7161,0.139942798494103,0.277738246394609
"1","G01","B5","R1",5.1202,-0.0625180537937267,0.0293518056776474
"1","G02","B2","R1",4.335,-0.0275409313443218,-0.0454907466350987
"1","G02","B2","R3",4.051,-0.0226376343916188,-0.0243992164634843
"1","G02","B5","R2",5.1566,0.0501785657359406,0.0727842602735027
"1","G03","B2","R2",3.7999,0.225541180439097,0.0809803788169878
"1","G03","B4","R1",3.342,-0.120943780806205,-0.285054529224049
"1","G03","B6","R3",2.8873,-0.104597399632892,-0.248182676950893
"1","G04","B1","R1",4.4461,-0.218809204349954,-0.200046376091342
"1","G04","B1","R2",4.3599,0.13499084354256,0.0830761963487943
"1","G04","B3","R3",4.396,0.0838183608073937,0.120468744182569
"1","G05","B1","R1",5.8757,0.684244086988196,0.761462400073063
"1","G05","B4","R2",5.1202,-0.395135922889521,-0.292253026162936
"1","G05","B6","R3",4.1972,-0.289108164098675,-0.19529816009408
"1","G06","B3","R3",4.2474,-0.051866152191768,-0.0666979978353064
"1","G06","B6","R1",4.7085,-0.107440673422579,-0.054076319914544
"1","G06","B6","R2",5.1751,0.159306825614346,0.146552588272372
"1","G07","B5","R1",4.1505,-0.0468433387358944,-0.131918060053255
"1","G07","B6","R2",4.6297,-0.0010019336068865,-0.045850486718706
"1","G07","B6","R3",3.6096,0.0478452723427814,-0.000376753267437913
"1","G08","B1","R2",3.9926,-0.302730999205136,-0.340364358375169
"1","G08","B2","R3",3.9821,-0.194939321437027,-0.1504857733042
"1","G08","B4","R1",4.9989,0.497670320642165,0.526780656744396
"1","G09","B2","R3",3.1407,0.0639034724241427,-0.121389203713137
"1","G09","B4","R2",4.2955,0.336531736885801,0.165494212539757
"1","G09","B6","R1",3.3986,-0.400435209309944,-0.511053563029569
"1","G10","B2","R1",4.1736,-0.0822075881723396,-0.112675905036933
"1","G10","B4","R2",4.9057,0.0566239732420222,0.0565990413875763
"1","G10","B4","R3",4.0875,0.0255836149303166,0.00454398161262137
"1","G11","B1","R1",4.1172,-0.298814834599436,-0.326593538071532
"1","G11","B1","R3",3.9205,0.0281376123283881,-0.0525587791764734
"1","G11","B3","R2",5.1163,0.270677222271049,0.265753225309587
"1","G12","B3","R2",5.3127,0.0120838126679512,0.0404759348880477
"1","G12","B4","R3",4.1746,-0.233128612391956,-0.222941314504027
"1","G12","B6","R1",5.256,0.221044799724003,0.312665969701602
"1","G13","B4","R1",4.253,-0.416594940706376,-0.388164186776062
"1","G13","B4","R3",4.7512,0.310783323364386,0.347797739653282
"1","G13","B5","R2",5.484,0.105811617341992,0.17395285991233
"1","G14","B1","R2",4.5294,-0.0121552645868661,0.0158282500529925
"1","G14","B1","R3",4.3887,-0.0692028655515564,-0.0234595634920849
"1","G14","B3","R1",4.7572,0.0813581301384216,0.147897320061849
"1","G15","B2","R2",4.9114,-0.109392735174946,-0.0143848350026401
"1","G15","B2","R3",4.6783,0.0931126615005589,0.183913826907727
"1","G15","B5","R1",5.0902,0.0162800736743884,0.0754108024436606
"1","G16","B3","R1",4.4906,-0.089052583005544,-0.0764136131632407
"1","G16","B5","R3",4.3852,0.0358180656654277,0.0742891049523333
"1","G16","B6","R2",5.3024,0.0532345173401154,0.117960450769356
"1","G17","B3","R2",5.0744,-0.0812341964169443,-0.050228064899267
"1","G17","B3","R3",4.3234,-0.0498986881300807,-0.0238597080064755
"1","G17","B5","R1",4.7876,0.131132884547025,0.119023304766654
"1","G18","B3","R1",3.9737,-0.222269535236642,-0.282761377253402
"1","G18","B3","R3",4.2486,0.0996445873029028,0.0891621005715164
"1","G18","B5","R2",5.0988,0.122624947933739,0.130031614545699
"1","G19","B1","R3",4.5552,0.0819009943841236,0.0969159881819559
"1","G19","B4","R1",4.7269,-0.0359500848038854,0.0280488168465993
"1","G19","B6","R2",5.3148,-0.0459509095802391,0.041946935668487
"1","G20","B1","R2",3.6056,-0.210778693945341,-0.326961082349972
"1","G20","B2","R1",4.0141,0.027109686870066,-0.0231740274506169
"1","G20","B6","R3",3.7349,0.183669007075274,0.154755785042748
"1","G21","B2","R1",4.654,-0.0175997635811385,0.0229132596875479
"1","G21","B3","R2",5.3802,0.00960386458142537,0.0777503957291756
"1","G21","B5","R3",4.413,0.00799589899971398,0.0469979929126216
"1","G22","B1","R1",4.5784,-0.0804306723589852,-0.0856465470675776
"1","G22","B5","R2",5.0969,-0.0364227465708016,-0.00586191281948345
"1","G22","B5","R3",4.2397,0.116853418929789,0.105347813496988
"1","G23","B2","R2",4.3042,-0.00654013881938109,-0.0209803074507429
"1","G23","B3","R1",4.2323,0.104586974813303,0.0424088393975106
"1","G23","B4","R3",3.8721,-0.0980468359939222,-0.123453289062435
"1","G24","B2","R2",3.9039,-0.280688159081691,-0.345480047830467
"1","G24","B5","R3",3.5655,-0.205790396778036,-0.292488182866641
"1","G24","B6","R1",4.9577,0.486478555859728,0.492154254763467
