"Site","GName","YLD_Mean","YLD_StdErrMean","YLD_sigma2","YLD_No.rep"
"E1","GEN1",2999.96666666667,361.866582976409,392842.27145478,3
"E1","GEN10",2190.43333333333,361.866582976409,392842.27145478,3
"E1","GEN11",2791.73333333333,361.866582976409,392842.27145478,3
"E1","GEN12",2666.6,361.866582976409,392842.27145478,3
"E1","GEN13",2736.13333333333,361.866582976409,392842.27145478,3
"E1","GEN14",2380.9,361.866582976409,392842.27145478,3
"E1","GEN15",1934.13333333333,361.866582976409,392842.27145478,3
"E1","GEN2",3009.4,361.866582976409,392842.27145478,3
"E1","GEN3",2095.16666666667,361.866582976409,392842.27145478,3
"E1","GEN4",2334.5,361.866582976409,392842.27145478,3
"E1","GEN5",1761.86666666667,361.866582976409,392842.27145478,3
"E1","GEN6",1952.33333333333,361.866582976409,392842.27145478,3
"E1","GEN7",2761.9,361.866582976409,392842.27145478,3
"E1","GEN8",2238.03333333333,361.866582976409,392842.27145478,3
"E1","GEN9",2204.5,361.866582976409,392842.27145478,3
"E10","GEN1",994.333333333333,27.3796484170099,2248.93544165175,3
"E10","GEN10",3509.33333333333,27.3796484170099,2248.93544165175,3
"E10","GEN11",2164,27.3796484170099,2248.93544165175,3
"E10","GEN12",3333,27.3796484170099,2248.93544165175,3
"E10","GEN13",2924.33333333333,27.3796484170099,2248.93544165175,3
"E10","GEN14",1754,27.3796484170099,2248.93544165175,3
"E10","GEN15",3215.628,27.3796484170099,2248.93544165175,3
"E10","GEN2",2338.66666666667,27.3796484170099,2248.93544165175,3
"E10","GEN3",1169.68866666667,27.3796484170099,2248.93544165175,3
"E10","GEN4",1870.66666666667,27.3796484170099,2248.93544165175,3
"E10","GEN5",935.5476,27.3796484170099,2248.93544165175,3
"E10","GEN6",1023.66666666667,27.3796484170099,2248.93544165175,3
"E10","GEN7",1023,27.3796484170099,2248.93544165175,3
"E10","GEN8",2338.66666666667,27.3796484170099,2248.93544165175,3
"E10","GEN9",754.333333333333,27.3796484170099,2248.93544165175,3
"E11","GEN1",2073,80.7129532066032,13294.6079277857,3
"E11","GEN10",2350.66666666667,80.7129532066032,13294.6079277857,3
"E11","GEN11",3194.66666666667,80.7129532066032,13294.6079277857,3
"E11","GEN12",3064.33333333333,80.7129532066032,13294.6079277857,3
"E11","GEN13",3587.33333333333,80.7129532066032,13294.6079277857,3
"E11","GEN14",6868.66666666667,80.7129532066032,13294.6079277857,3
"E11","GEN15",1501.66666666667,80.7129532066032,13294.6079277857,3
"E11","GEN2",1519,80.7129532066032,13294.6079277857,3
"E11","GEN3",440.666666666668,80.7129532066032,13294.6079277857,3
"E11","GEN4",1762.33333333333,80.7129532066032,13294.6079277857,3
"E11","GEN5",2161,80.7129532066032,13294.6079277857,3
"E11","GEN6",1654,80.7129532066032,13294.6079277857,3
"E11","GEN7",2440.33333333333,80.7129532066031,13294.6079277857,3
"E11","GEN8",2273.33333333333,80.7129532066032,13294.6079277857,3
"E11","GEN9",1030.66666666667,80.7129532066032,13294.6079277857,3
"E2","GEN1",760.666666666667,243.855987298422,167643.158464121,3
"E2","GEN10",854.966666666667,243.855987298422,167643.158464121,3
"E2","GEN11",612.466666666667,243.855987298422,167643.158464121,3
"E2","GEN12",547.866666666667,243.855987298422,167643.158464121,3
"E2","GEN13",512.466666666667,243.855987298423,167643.158464121,3
"E2","GEN14",474.966666666667,243.855987298422,167643.158464121,3
"E2","GEN15",531.2,243.855987298422,167643.158464121,3
"E2","GEN2",2083.33333333333,243.855987298423,167643.158464121,3
"E2","GEN3",2760.4,243.855987298422,167643.158464121,3
"E2","GEN4",2197.4,243.855987298422,167643.158464121,3
"E2","GEN5",1147.26666666667,243.855987298422,167643.158464121,3
"E2","GEN6",1126.73333333333,243.855987298423,167643.158464121,3
"E2","GEN7",2187.46666666667,243.855987298422,167643.158464121,3
"E2","GEN8",3958.3,243.855987298422,167643.158464121,3
"E2","GEN9",1233.26666666667,243.855987298423,167643.158464121,3
"E3","GEN1",1378.5,197.220842287751,100745.155378971,3
"E3","GEN10",2083.26666666667,197.220842287751,100745.155378971,3
"E3","GEN11",1008.36666666667,197.220842287751,100745.155378971,3
"E3","GEN12",1003,197.220842287751,100745.155378971,3
"E3","GEN13",1697.66666666667,197.220842287751,100745.155378971,3
"E3","GEN14",797.233333333334,197.220842287751,100745.155378971,3
"E3","GEN15",1646.13333333333,197.220842287751,100745.155378971,3
"E3","GEN2",1234.43333333333,197.220842287751,100745.155378971,3
"E3","GEN3",1082.46666666667,197.220842287751,100745.155378971,3
"E3","GEN4",1877.5,197.220842287751,100745.155378971,3
"E3","GEN5",1337.6,197.220842287751,100745.155378971,3
"E3","GEN6",2057.7,197.220842287751,100745.155378971,3
"E3","GEN7",1388.73333333333,197.220842287751,100745.155378971,3
