"EnvLevel","ENTRY","BLOCK","YIELD","YIELD_resid_fixed","YIELD_resid_random"
"1","1","3",6.349999905,2.89708072003236e-05,1.13081028747956
"1","10","2",1.049999952,1.616392315551e-06,-1.72290960246236
"1","11","1",3.75,-1.23094842026106e-05,-0.439352169139686
"1","12","2",3.799999952,1.616392315551e-06,-0.217451074464325
"1","13","3",4.400000095,2.89708071976591e-05,0.0633034352762705
"1","14","3",2.599999905,2.89708071967709e-05,-0.92208770524503
"1","15","1",3.400000095,-1.23094842021665e-05,-0.630955929787231
"1","16","4",8.25,-1.827771531282e-05,2.12528190736832
"1","17","3",4.25,2.89708071985473e-05,-0.0188125364394622
"1","18","4",4.349999905,-1.827771531282e-05,-0.00973205707200364
"1","19","1",5.900000095,-1.23094842026106e-05,0.73764273202916
"1","2","1",6.5,-1.23094842026106e-05,1.06610635885835
"1","20","3",4.400000095,2.89708071976591e-05,0.0633034352762705
"1","21","2",1.799999952,1.61639231910371e-06,-1.31233000391744
"1","22","3",3.450000048,2.89708071994355e-05,-0.456764081943613
"1","23","2",5.5,1.61639231688326e-06,0.713196041847915
"1","24","4",5.400000095,-1.82777153119318e-05,0.56507948490438
"1","25","1",4.800000191,-1.23094842026106e-05,0.135459373384137
"1","26","3",4.699999809,2.89708071976591e-05,0.227535118126551
"1","27","2",4.900000095,1.61639231599509e-06,0.384732415018731
"1","28","3",3.75,2.89708071967709e-05,-0.292532268802741
"1","29","1",6.199999809,-1.23094842026106e-05,0.901874414879441
"1","3","3",3.950000048,2.89708071989914e-05,-0.183044349580335
"1","30","4",4.5,-1.82777153119318e-05,0.0723839146437291
"1","31","2",2.400000095,1.61639231510691e-06,-0.983866246797661
"1","32","4",4,-1.82777153119318e-05,-0.201335817719549
"1","33","2",3.900000095,1.61639231688326e-06,-0.162707049707826
"1","34","3",6.599999905,2.89708071985473e-05,1.2676701536612
"1","35","1",5.300000191,-1.23094842026106e-05,0.409179105747414
"1","36","4",3.900000095,-1.82777153123759e-05,-0.256079712185456
"1","37","1",5.150000095,-1.23094842026106e-05,0.327063133484243
"1","38","4",3.700000048,-1.82777153114877e-05,-0.365567630860423
"1","39","1",5.300000191,-1.23094842026106e-05,0.409179105747414
"1","4","4",5.599999905,-1.82777153119318e-05,0.674567273836192
"1","40","4",7,-1.82777153119318e-05,1.44098257646012
"1","41","3",4.699999809,2.89708071976591e-05,0.227535118126551
"1","42","1",3.400000095,-1.23094842039428e-05,-0.630955929787231
"1","43","4",1.5,-1.82777153121538e-05,-1.56993447953594
"1","44","2",4.050000191,1.61639231599509e-06,-0.0805910774446543
"1","45","1",5.550000191,-1.23094842026106e-05,0.546038971929054
"1","46","3",5.599999905,2.89708071985473e-05,0.72023068893464
"1","47","1",3.849999905,-1.23094842017224e-05,-0.384608274673779
"1","48","4",3.400000095,-1.82777153137081e-05,-0.529799444548734
"1","49","3",3.400000095,2.89708071976591e-05,-0.484136029450286
"1","5","2",2,1.61639231666122e-06,-1.20284208469503
"1","50","2",4.900000095,1.61639231599509e-06,0.384732415018731
"1","51","2",3.200000048,1.61639231732735e-06,-0.545914700746071
"1","52","4",2,-1.82777153132641e-05,-1.29621474717266
"1","53","4",3,-1.82777153132641e-05,-0.748775282446106
"1","54","2",4.050000191,1.61639231599509e-06,-0.0805910774446543
"1","55","4",2.200000048,-1.82777153137081e-05,-1.18672682795026
"1","56","2",3.049999952,1.61639231688326e-06,-0.628030673009243
"1","57","1",6.5,-1.23094842026106e-05,1.06610635885835
"1","58","1",7,-1.23094842026106e-05,1.33982609122162
"1","59","3",4.400000095,2.89708071985473e-05,0.0633034352762705
"1","6","2",3.5,1.61639231643917e-06,-0.381682887605198
"1","60","2",7.5,1.61639231599509e-06,1.80807497130103
"1","61","1",4.599999905,0.752131899256459,0.51812950561158
"1","61","2",3,-0.723007219064555,-0.726595678948819
"1","61","3",4.099999905,0.622255076173236,0.286271322195779
"1","61","4",3.25,-0.651379756365142,-0.647125118613305
"1","62","1",4.900000095,0.45213206550646,0.357446062601855
"1","62","2",4.5,0.176992757185444,0.312720688041454
"1","62","3",3.349999905,-0.727744947576764,-0.924412310813947
"1","62","4",4.599999905,0.0986201248848584,0.242191153376968
"1","63","1",2.200000048,-1.42286793374354,-1.7091139774207
"1","63","2",3.299999952,-0.198007243064556,-0.2538393529811
"1","63","3",3.349999905,0.097255100173236,-0.290972303836501
"1","63","4",5.199999809,1.52362007663486,1.47563106435441
"1","64","1",4.5,-0.160368005743541,-0.205712794395329
"1","64","2",5.099999905,0.564492685935444,0.74956183104427
"1","64","3",4,-0.290244828826764,-0.437570977811131
"1","64","4",4.599999905,-0.113879851365142,0.0790323913797844
"1","65","1",6.25,1.03963192275646,1.1219938371634
"1","65","2",5.050000191,-0.0355070995645557,0.277268748603001
"1","65","3",3,-1.84024490032676,-1.8598643462524
"1","65","4",6.099999905,0.836120077134859,1.15673902293852
"1","66","1",4.199999809,-0.0853681964935404,-0.21778572596942
"1","66","2",4.300000191,0.139492972185444,0.23748937647018
"1","66","3",4.699999809,0.784754980423236,0.55035609061478
"1","66","4",3.5,-0.838879756115142,-0.733040254194306
"1","7","4",4.550000191,-1.827771531282e-05,0.0997559924409943
"1","8","3",3.900000095,2.89708071985473e-05,-0.210416297087008
"1","9","1",4.199999809,-1.23094842017224e-05,-0.193004514573673
